,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
599, TIC 176877766,3826.84,4.73,0,0,0.0,0,0,0.0,0,0
600, TIC 9665497,4087.1,4.39,5,109.41828098969995,0.23333745459094643,0.5000114436261356,0.10416675778105855,18211.355232992624,147022.35067801256,-131622.9999537655
601, TIC 388995139,4150.46,4.68,7,104.04023237278216,0.21428279340459863,0.37500561820343137,0.12499826261773705,-9731.036665736985,10110.099995589817,-93592.08501622459
602, TIC 438337653,3609.69,4.75,9,165.15903496858255,0.15587727848994998,0.40976023302755493,0.027780336346950207,19.29793357849121,60.64790487289429,4.808521270751953
603, TIC 458677162,3761.56,4.31,6,174.24380993479667,0.06134513771818698,0.14583860494303735,0.027779732058661466,14.503530661265055,62.158918380737305,2.9305338859558105
604, TIC 48559268,3462.9,4.83,4,53.75052117021232,0.30729833659148653,0.43751375648548674,0.1250039280519104,690.1096045970917,1216.0835266113281,139.97480869293213
605, TIC 294301774,3513.18,4.64,2,25.000411468125094,0.32292647404290165,0.4791840003076686,0.16666894777813468,55.32554388046265,103.46851348876953,7.182574272155762
606, TIC 366355496,4015.85,4.7,2,48.8338600757279,0.14583659353434086,0.18750568197742723,0.1041675050912545,3.170245885848999,3.9229273796081543,2.4175643920898438
607, TIC 0,4212.95,4.63,0,0,0.0,0,0,0.0,0,0
608, TIC 290055890,3573.54,4.6,0,0,0.0,0,0,0.0,0,0
609, TIC 374350271,4060.97,4.7,0,24.56207560789244,0.0,0,0,0.0,0,0
610, TIC 185854309,4076.2,4.63,0,50.118715104020794,0.0,0,0,0.0,0,0
611, TIC 432613930,3481.96,4.76,6,130.06419244361086,0.20833440773329434,0.37499668958366783,0.10416795419405389,115.77667792638142,338.5014057159424,2.389240264892578
612, TIC 443970873,3715.27,4.66,2,48.83406012911314,0.2291736433552387,0.29167779917293046,0.16666948753754696,4.401487112045288,7.349801063537598,1.4531731605529785
613, TIC 366623130,3648.52,4.55,0,48.833939065731784,0.0,0,0,0.0,0,0
614, TIC 328009688,3473.4,4.92,0,109.41739845424081,0.0,0,0,0.0,0,0
615, TIC 23375009,3516.93,4.51,3,26.687896791351704,0.08101990698317725,0.11111125691058987,0.027778625262271817,8.9019775390625,9.947586059570312,7.225453853607178
616, TIC 173145881,3528.53,4.71,1,24.562645901710766,0.4166686054948059,0.4166686054948059,0.4166686054948059,37.80909776687622,37.80909776687622,37.80909776687622
617, TIC 126237385,4162.15,4.67,6,102.99930344391146,0.7222499940576578,1.2987015066396452,0.03472518425223825,750.5308210849762,2302.6065826416016,4.354763031005859
618, TIC 366631586,3632.44,4.14,1,48.83394260905811,0.1458350038969911,0.1458350038969911,0.1458350038969911,2.1117806434631348,2.1117806434631348,2.1117806434631348
619, TIC 85911020,4243.97,4.66,4,76.92094047782939,0.08333714755019628,0.1597375098658631,0.04166700828773173,2312.714222073555,6541.728210449219,78.83325815200806
620, TIC 411757348,3812.63,4.46,0,0,0.0,0,0,0.0,0,0
621, TIC 437034479,4089.6,4.62,0,0,0.0,0,0,0.0,0,0
622, TIC 152868884,3851.96,4.75,0,0,0.0,0,0,0.0,0,0
623, TIC 366399964,3466.72,4.0,1,48.833869120092004,0.25000213000112126,0.25000213000112126,0.25000213000112126,8.784890174865723,8.784890174865723,8.784890174865723
624, TIC 48482012,3708.39,4.56,0,0,0.0,0,0,0.0,0,0
625, TIC 117508967,3773.61,4.63,0,0,0.0,0,0,0.0,0,0
626, TIC 386892927,3421.77,4.89,0,0,0.0,0,0,0.0,0,0
